time_submitted,age,city,applicant_before,"if applicant before, what program",completed that program,highest education,course,degreeCategory,year_graduated,expected year graduated if still ongoing,postgrad year graduated,expected year graduated if postgrad still ongoing,postgrad degree,monthly net income,monthly gross income,employment status(Employed/Unemployed),job position,career industry,year tenure,position in company,unemployment status if unemployed,last employment(year) if unemployed,salary before being unemployed,job position before being unemployed,career industry before being unemployed,year tenure before being unemployed,Microsoft Excel,Microsoft Power BI,Tableau,Matlab,SQL,Python,R,Java,Stats,eViews,SAS,SPSS,Indicate Other Tools & Programming you know,"In one paragraph, why do you deserve the scholarship slot?"
07/03/2017 11:08,24,Makati,No,,No,Postgrad,Computer Science,IT,2016.0,,,2026.0,Masters in Data Science,,,Unemployed,,,0,,,,,,,,2,4,3,5,5,5,3,4,1,1,4,3,,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
11/25/2024 04:46,39,Cebu,No,,No,Postgrad,Accounting,Business,2016.0,,,2027.0,Masters in Data Science,39523.0,34523.0,Employed,Data Analyst,Education,4,,,,,,,,1,1,1,3,5,2,3,2,3,4,2,1,,"I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
10/04/2022 02:10,22,Davao,No,,No,Postgrad,Civil Engineering,Engineering,2016.0,,,2024.0,Masters in Data Science,43811.0,38811.0,Employed,Software Developer,IT,4,,,,,,,,3,2,4,2,3,2,3,3,4,1,5,4,"Stats, eViews","With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
08/31/2017 20:58,25,Davao,No,,No,College grad,Computer Science,IT,2021.0,,,,,25446.0,20446.0,Employed,Teacher,Education,0,,,,,,,,4,1,5,3,1,3,4,4,1,4,3,3,"Matlab, R, Python","With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
08/30/2019 17:09,36,Iloilo,No,,No,College grad,Mechanical Engineering,Engineering,2016.0,,,,,49925.0,44925.0,Employed,Accountant,Education,5,,,,,,,,1,5,5,2,3,1,4,3,4,3,3,1,"Microsoft Power BI, Java, Python","This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
02/07/2024 18:44,20,Manila,No,,No,College grad,Early Childhood Education,Education,2019.0,,,,,,,Unemployed,,,0,,,,,,,,4,2,2,2,2,3,3,1,1,1,5,3,,I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
12/06/2020 13:04,24,Baguio,No,,No,College grad,Software Engineering,IT,2019.0,,,,,42420.0,37420.0,Employed,Teacher,IT,5,,,,,,,,1,1,1,5,1,3,5,4,2,4,5,5,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
04/27/2018 08:07,26,Quezon City,No,,No,College grad,Mechanical Engineering,Engineering,2012.0,,,,,41786.0,36786.0,Employed,Software Developer,Engineering,2,,,,,,,,1,4,2,5,2,5,4,4,2,3,4,1,"Python, R",I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
01/02/2025 07:25,35,Davao,No,,No,College grad,Psychology,Social Sciences,2017.0,,,,,47118.0,42118.0,Employed,Teacher,Education,0,,,,,,,,3,2,5,3,4,3,4,5,1,4,1,2,SAS,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
04/21/2024 03:24,23,Manila,No,,No,College grad,Civil Engineering,Engineering,2012.0,,,,,43384.0,38384.0,Employed,Accountant,Health Sciences,5,,,,,,,,5,4,3,2,5,5,1,1,5,4,4,2,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
02/06/2017 21:06,26,Baguio,No,,No,College grad,Medical Technology,Health Sciences,2012.0,,,,,34285.0,29285.0,Employed,Engineer,Health Sciences,2,,,,,,,,5,5,5,5,5,5,1,5,2,3,3,2,SQL,"With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
01/25/2025 06:41,30,Cagayan de Oro,No,,No,Postgrad,Software Engineering,IT,2016.0,,,2024.0,Masters in Data Science,,,Unemployed,,,2,,,,,,,,3,5,2,4,5,1,5,2,4,1,3,3,Microsoft Excel,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
05/28/2019 08:05,34,Makati,No,,No,College grad,Medical Technology,Health Sciences,2022.0,,,,,45890.0,40890.0,Employed,Nurse,Business,3,,,,,,,,4,5,4,1,2,5,3,3,3,1,4,3,,I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
04/29/2023 16:06,34,Cebu,No,,No,Postgrad,Mathematics Education,Education,2016.0,,,2027.0,Masters in Data Science,,,Unemployed,,,4,,,,,,,,5,3,1,4,5,3,4,5,2,5,1,5,"SQL, Java","With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
09/04/2018 05:34,27,Makati,No,,No,Postgrad,Business Administration,Business,2016.0,,,2025.0,Masters in Data Science,,,Unemployed,,,4,,,,,,,,1,2,2,1,2,2,3,5,4,5,4,5,,"I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
11/07/2018 00:16,27,Zamboanga,No,,No,College grad,Sociology,Social Sciences,2022.0,,,,,27480.0,22480.0,Employed,Software Developer,Engineering,3,,,,,,,,4,5,5,2,2,4,1,4,5,2,4,3,,I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
09/03/2023 09:42,33,Davao,No,,No,College grad,Marketing,Business,2015.0,,,,,,,Unemployed,,,5,,,,,,,,2,2,5,3,1,4,1,5,2,1,4,5,"SQL, Matlab","I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
04/13/2021 09:04,36,Quezon City,No,,No,College grad,Software Engineering,IT,2010.0,,,,,48745.0,43745.0,Employed,Marketing Analyst,Health Sciences,1,,,,,,,,2,1,1,5,4,5,5,2,5,5,5,4,"SAS, SQL, Stats","With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
01/10/2024 09:42,35,Davao,No,,No,College grad,Business Administration,Business,2011.0,,,,,49866.0,44866.0,Employed,Marketing Analyst,Social Sciences,1,,,,,,,,3,4,2,4,5,4,1,2,4,4,1,5,"Python, Python","This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
01/04/2025 17:08,30,Makati,No,,No,College grad,Marketing,Business,2010.0,,,,,,,Unemployed,,,1,,,,,,,,1,5,2,4,5,5,2,3,4,4,2,2,SPSS,"With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
06/02/2023 14:47,31,Iloilo,No,,No,College grad,Software Engineering,IT,2015.0,,,,,,,Unemployed,,,4,,,,,,,,3,5,1,2,3,2,2,5,3,3,1,3,,"This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
03/21/2017 15:08,27,Cebu,No,,No,College grad,Civil Engineering,Engineering,2018.0,,,,,,,Unemployed,,,1,,,,,,,,3,3,1,3,2,5,3,3,2,2,1,4,"eViews, Microsoft Excel, Tableau","This training is a stepping stone for me to transition into data analysis, a field I have always been interested in."
10/14/2022 12:59,40,Iloilo,No,,No,College grad,Education,Education,2013.0,,,,,,,Unemployed,,,3,,,,,,,,1,4,3,5,5,4,3,3,5,2,3,3,,"Coming from a financially challenged background, I see this as a great opportunity to grow professionally and help others in the future."
01/05/2019 03:07,40,Davao,No,,No,College grad,Mathematics Education,Education,2015.0,,,,,,,Unemployed,,,5,,,,,,,,4,2,1,3,5,4,4,5,3,5,3,5,,I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
04/27/2023 06:03,31,Cagayan de Oro,No,,No,College grad,Early Childhood Education,Education,2017.0,,,,,37645.0,32645.0,Employed,Data Analyst,Business,3,,,,,,,,3,2,5,5,1,2,1,1,2,2,1,5,,I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
07/08/2023 02:55,40,Makati,No,,No,Postgrad,Computer Science,IT,2016.0,,,2024.0,Masters in Data Science,47370.0,42370.0,Employed,Software Developer,Business,0,,,,,,,,3,2,4,3,3,5,1,5,4,1,5,1,,"With this opportunity, I can enhance my skills and use data-driven decision-making to help organizations grow."
09/13/2018 21:46,27,Cagayan de Oro,No,,No,College grad,Political Science,Social Sciences,2020.0,,,,,,,Unemployed,,,3,,,,,,,,1,3,3,4,1,3,1,3,4,3,3,1,"SPSS, Stats",I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
10/24/2024 14:10,22,Makati,No,,No,College grad,Information Technology,IT,2013.0,,,,,,,Unemployed,,,3,,,,,,,,3,5,2,1,1,3,5,4,2,1,3,3,Tableau,"I believe in continuous learning, and this program will provide me with the necessary knowledge to improve my career prospects."
09/04/2022 20:46,35,Zamboanga,No,,No,College grad,Mathematics Education,Education,2023.0,,,,,34990.0,29990.0,Employed,Engineer,IT,4,,,,,,,,3,1,1,2,3,3,5,1,1,3,3,5,"SQL, Microsoft Power BI",I am passionate about data science and eager to learn. This scholarship will allow me to advance my career and contribute to my field.
