time_submitted,age,city,applicant_before,"if applicant before, what program",completed that program,highest education,course,degreeCategory,year_graduated,expected year graduated if still ongoing,postgrad year graduated,expected year graduated if postgrad still ongoing,postgrad degree,monthly net income,monthly gross income,employment status(Employed/Unemployed),job position,career industry,year tenure,position in company,unemployment status if unemployed,last employment(year) if unemployed,salary before being unemployed,job position before being unemployed,career industry before being unemployed,year tenure before being unemployed,position in before being unemployed,Please rate your experience in Data Science.(out of 5),Microsoft Excel,Microsoft Power BI,Tableau,Matlab,SQL,Python,R,Java,Stats,eViews,SAS,SPSS,Indicate Other Tools & Programming you know,"In one paragraph, why do you deserve the scholarship slot?"
2025-01-16 01:46:03,30,Baguio,Yes,N/A,No,College grad,Political Science,Social Sciences,2015,N/A,N/A,N/A,MBA,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2024,24723,Location manager,Social Sciences,2,N/A,5,2,1,1,5,2,2,5,2,4,2,1,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-17 04:38:27,40,General Santos,No,N/A,No,College grad,Early Childhood Education,Education,2021,N/A,N/A,N/A,MEd,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2018,38654,"Psychotherapist, child",Business,4,N/A,1,2,5,4,2,4,3,5,2,3,5,2,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-11 08:49:05,31,General Santos,Yes,N/A,No,College grad,Early Childhood Education,Education,2012,N/A,N/A,N/A,MEd,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2018,31856,"Optician, dispensing",Engineering,3,N/A,3,1,5,1,5,3,5,5,4,5,3,1,5,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-05 10:31:55,30,General Santos,No,N/A,No,College grad,Political Science,Social Sciences,2012,N/A,N/A,N/A,MEd,0,0,Unemployed,N/A,N/A,N/A,N/A,Yes,2022,34151,Dancer,IT,3,N/A,2,1,5,4,5,5,4,4,1,5,3,3,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-11 03:50:45,26,Cagayan de Oro,No,N/A,No,College grad,Civil Engineering,Engineering,2018,N/A,N/A,N/A,MPH,38155,43878,Employed,"Engineer, maintenance",Engineering,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,3,2,3,3,3,4,1,3,4,4,1,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-02-02 01:34:10,23,Cagayan de Oro,Yes,N/A,No,College grad,Software Engineering,IT,2016,N/A,N/A,N/A,Masters in Data Science,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2022,22690,"Journalist, broadcasting",Social Sciences,1,N/A,5,3,3,4,5,3,4,1,4,1,2,4,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-10 17:25:32,26,Iloilo,Yes,N/A,No,College grad,Civil Engineering,Engineering,2018,N/A,N/A,N/A,MBA,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2021,20006,"Teacher, primary school",IT,3,N/A,2,3,3,1,5,2,1,4,1,1,5,2,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-18 23:00:43,37,General Santos,No,N/A,No,College grad,Education,Education,2018,N/A,N/A,N/A,MBA,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2019,20379,Education administrator,Engineering,7,N/A,1,1,3,2,1,2,5,1,1,4,5,4,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-18 00:42:19,25,Cebu,No,N/A,No,College grad,Early Childhood Education,Education,2015,N/A,N/A,N/A,Masters in Data Science,49664,57113,Employed,Accounting technician,Education,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,1,1,1,3,4,3,1,2,4,3,4,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-20 21:58:37,31,General Santos,Yes,N/A,No,College grad,Political Science,Social Sciences,2017,N/A,N/A,N/A,MEd,43842,50418,Employed,Architect,Social Sciences,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,5,3,1,1,1,5,4,1,3,1,5,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-06 22:51:44,40,Baguio,No,N/A,No,College grad,Civil Engineering,Engineering,2019,N/A,N/A,N/A,MEng,0,0,Unemployed,N/A,N/A,N/A,N/A,No,2019,22690,Site engineer,IT,2,N/A,3,4,2,4,3,4,3,3,3,3,5,2,2,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-27 04:37:07,22,General Santos,No,N/A,No,College grad,Early Childhood Education,Education,2018,N/A,N/A,N/A,Masters in Data Science,46074,52985,Employed,Environmental manager,Education,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,3,2,5,1,1,2,4,3,2,4,5,1,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
2025-01-22 07:19:50,28,Manila,Yes,N/A,No,College grad,Software Engineering,IT,2016,N/A,N/A,N/A,MBA,34096,39210,Employed,"Conservator, museum/gallery",IT,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,2,3,2,4,5,4,5,4,2,2,3,N/A,I deserve the slot because I am passionate about data science and eager to learn. The training will enhance my skills and help me advance my career.
